Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric","146.1000","-160.0000","180.0000","top"
"C2","0.1uF","C_0805_2012Metric","137.5810","-160.1400","90.0000","top"
"C3","0.1uF","C_0805_2012Metric","160.0000","-160.2000","90.0000","top"
"C4","0.1uF","C_0805_2012Metric","142.8550","-168.1580","0.0000","top"
"C5","0.1uF","C_0805_2012Metric","135.0410","-160.1400","270.0000","top"
"D1","LED1","LED_0805_2012Metric","78.1750","-119.0000","90.0000","top"
"D2","LED2","LED_0805_2012Metric","78.1570","-123.0000","90.0000","top"
"R3","470R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","80.5000","-119.0000","90.0000","top"
"R4","470R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","80.5099","-123.0000","90.0000","top"
"R5","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","129.4000","-140.7500","270.0000","top"
"R6","470R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","135.7500","-140.7000","90.0000","top"
"R7","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","138.5370","-168.1580","180.0000","top"
"SW1","SW_Push","Panasonic_EVQPUJ_EVQPUA","82.9000","-112.6000","45.0000","top"
"SW2","SW_Push","Panasonic_EVQPUJ_EVQPUA","88.5000","-107.0000","45.0000","top"
"SW3","SW_Push","Panasonic_EVQPUJ_EVQPUA","149.7000","-170.1000","180.0000","top"
"U1","ATmega328-AU","TQFP-32_7x7mm_P0.8mm","153.6000","-160.4000","0.0000","top"
"U3","DRV8838","WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias","132.2470","-160.1400","270.0000","top"
"Y1","Resonator_Small","Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm","145.7330","-163.0980","90.0000","top"
