Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"10uF","Capacitor_SMD:C_0805_2012Metric","~"
C2 C3 C4 C5 ,4,"0.1uF","Capacitor_SMD:C_0805_2012Metric","~"
D1 ,1,"LED1","LED_SMD:LED_0805_2012Metric","~"
D2 ,1,"LED2","LED_SMD:LED_0805_2012Metric","~"
J1 ,1,"SERIAL_BRIDGE","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
J2 ,1,"Spring_Finger_Interface","stephen:springFingerContactPads_4x","~"
J3 ,1,"AVR-ISP-6","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical"," ~"
JP1 ,1,"TAPE_DETECT_OVERRIDE","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
M1 ,1,"Motor_DC","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
R3 R4 R6 ,3,"470R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R5 R7 ,2,"10K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
SW1 SW2 SW3 ,3,"SW_Push","Button_Switch_SMD:Panasonic_EVQPUJ_EVQPUA",""
SW4 ,1,"SW_SPDT","stephen:MDS6500AL02SR",""
U1 ,1,"ATmega328-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
U2 ,1,"VCNT2020","stephen:VCNT2020",""
U3 ,1,"DRV8838","Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias",""
Y1 ,1,"Resonator_Small","Crystal:Resonator_SMD_muRata_CSTxExxV-3Pin_3.0x1.1mm","~"
