Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100uF","CP_Elec_6.3x7.7","114.3000","-16.6370","270.0000","top"
"C10","120pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","24.7650","-30.8610","180.0000","top"
"C11","0.01uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","24.7650","-28.5750","180.0000","top"
"C12","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","16.1290","-26.2890","0.0000","top"
"C13","100uF","CP_Elec_6.3x7.7","27.9400","-52.7050","270.0000","top"
"C14","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","30.0900","-43.3070","180.0000","top"
"C15","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","30.0900","-45.7200","180.0000","top"
"C16","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","33.9090","-48.6410","180.0000","top"
"C17","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","53.8480","-52.4510","90.0000","top"
"C18","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","17.7800","-49.5300","180.0000","top"
"C19","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","21.5900","-49.5300","0.0000","top"
"C2","100uF","CP_Elec_6.3x7.7","29.2100","-16.5100","0.0000","top"
"C20","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","13.9700","-49.5300","180.0000","top"
"C21","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","56.6420","-38.4810","0.0000","top"
"C22","10uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","56.6420","-36.3220","0.0000","top"
"C23","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","30.0990","-40.7670","180.0000","top"
"C25","22pF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","30.0990","-38.3540","180.0000","top"
"C26","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","74.2950","-62.2300","0.0000","top"
"C27","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","88.9000","-62.2300","0.0000","top"
"C28","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","103.5050","-62.8650","0.0000","top"
"C29","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","28.1940","-27.4320","90.0000","top"
"C3","100uF","CP_Elec_6.3x7.7","93.9800","-16.5100","0.0000","top"
"C30","100uF","CP_Elec_6.3x7.7","42.9260","-29.8450","90.0000","top"
"C31","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","25.7810","-60.8330","180.0000","top"
"C4","100uF","CP_Elec_6.3x7.7","50.8000","-16.5100","0.0000","top"
"C5","100uF","CP_Elec_6.3x7.7","7.6200","-16.5100","0.0000","top"
"C6","100uF","CP_Elec_6.3x7.7","72.3900","-16.5100","0.0000","top"
"C7","100uF","CP_Elec_6.3x7.7","5.3340","-43.1800","180.0000","top"
"C8","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","12.0650","-40.0050","270.0000","top"
"C9","0.01uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","20.4470","-26.2890","0.0000","top"
"D1","LED","LED_0805_2012Metric","30.9880","-60.9600","90.0000","top"
"D2","LED","LED_0805_2012Metric","36.5760","-60.9600","90.0000","top"
"D5","LED","LED_0805_2012Metric","33.7820","-60.9600","90.0000","top"
"J5","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD","54.9910","-29.9720","0.0000","top"
"L1","15uH","L_Bourns_SRR1260","20.9550","-41.2750","0.0000","top"
"Q1","IRF540N","TO-263-3_TabPin2","121.9200","-30.6070","0.0000","top"
"Q2","IRF540N","TO-263-3_TabPin2","121.8350","-42.5260","0.0000","top"
"Q3","IRF540N","TO-263-3_TabPin2","122.2400","-54.5910","0.0000","top"
"Q4","IRF540N","TO-263-3_TabPin2","122.2280","-66.9290","0.0000","top"
"R1","100K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","43.6880","-55.8800","270.0000","top"
"R10","220R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","74.2950","-65.4050","0.0000","top"
"R11","220R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","88.9000","-65.4050","0.0000","top"
