Reference, Quantity, Value, Footprint, Datasheet
A1 ,1,"X_MOTOR_DRIVER","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2982"
A2 ,1,"Y_MOTOR_DRIVER","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2982"
A3 ,1,"Z_MOTOR_DRIVER","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2982"
A4 ,1,"R_MOTOR_DRIVER","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2982"
A5 ,1,"P_MOTOR_DRIVER","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2982"
A6 ,1,"C_MOTOR_DRIVER","Module:Pololu_Breakout-16_15.2x20.3mm","https://www.pololu.com/product/2982"
C1 C2 C3 C4 C5 C6 C7 C13 C30 ,9,"100uF","Capacitor_SMD:CP_Elec_6.3x7.7","~"
C10 ,1,"120pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C9 C11 ,2,"0.01uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C8 C12 C16 C26 C27 C28 C29 C31 ,8,"0.1uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C17 C18 C19 C20 C21 C22 ,6,"10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C14 C15 C23 C25 ,4,"22pF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
D1 D2 D5 ,3,"LED","LED_SMD:LED_0805_2012Metric","~"
H1 H2 H3 H4 ,4,"MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~"
J1 ,1,"X_MOTOR","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J10 ,1,"MF3","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
J11 ,1,"MF4","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
J12 ,1,"DOWNWARDS_LIGHT","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J13 ,1,"UPWARDS_LIGHT","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J14 ,1,"5V_INJECTION","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
J15 ,1,"RS-485_1","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J16 ,1,"RS-485_2","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J17 ,1,"RS-485_3","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J18 ,1,"R_LIMIT","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J19 ,1,"P_LIMIT","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J2 ,1,"Y_MOTOR1","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J20 ,1,"C_LIMIT","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J21 ,1,"I2C","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J22 ,1,"SPI","Connector_JST:JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical","~"
J23 ,1,"AUX1","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","~"
J24 ,1,"AUX2","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","~"
J3 ,1,"Z_MOTOR","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J37 ,1,"P_MOTOR","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J38 ,1,"C_MOTOR","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J4 ,1,"R_MOTOR","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J41 ,1,"USB_B","Connector_USB:USB_B_OST_USB-B1HSxx_Horizontal"," ~"
J42 ,1,"Stacked_USBA","Connector_USB:USB_A_Wuerth_61400826021_Horizontal_Stacked","~"
J45 ,1,"Jack-DC","Connector_BarrelJack:BarrelJack_Horizontal","~"
J48 ,1,"Y_MOTOR2","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
J5 ,1,"Conn_ARM_JTAG_SWD_10","Connector_PinHeader_1.27mm:PinHeader_2x05_P1.27mm_Vertical_SMD","http://infocenter.arm.com/help/topic/com.arm.doc.faqs/attached/13634/cortex_debug_connectors.pdf"
J6 ,1,"SERVO1","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J60 ,1,"X_LIMIT","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J61 ,1,"Y_LIMIT","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J62 ,1,"Z_LIMIT","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J65 ,1,"ADC_AUX_1","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J66 ,1,"ADC_AUX_2","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J7 ,1,"SERVO2","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
J8 ,1,"MF1","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
J9 ,1,"MF2","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~"
JP11 ,1,"BOOT0","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP12 ,1,"BOOT1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP1 JP4 JP7 JP22 JP25 JP28 ,6,"M0","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP2 JP5 JP8 JP23 JP26 JP29 ,6,"M1","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
JP3 JP6 JP9 JP24 JP27 JP30 ,6,"M2","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm","~"
L1 ,1,"15uH","Inductor_SMD:L_Bourns_SRR1260","~"
Q1 Q2 Q3 Q4 ,4,"IRF540N","Package_TO_SOT_SMD:TO-263-3_TabPin2","http://www.irf.com/product-info/datasheets/data/irf540n.pdf"
R1 R13 ,2,"100K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R10 R11 R12 ,3,"220R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R14 ,1,"720R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R15 ,1,"3.3K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R16 ,1,"15K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R18 ,1,"180R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R2 R3 R4 R5 ,4,"10R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R17 R41 ,2,"2.7K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R42 ,1,"470R","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
R6 R7 R8 R9 ,4,"10K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
SW2 ,1,"RESET","Button_Switch_SMD:SW_SPST_B3S-1000",""
TP1 ,1,"12V_TP","TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm","~"
TP2 ,1,"3V3_TP","TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm","~"
